work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_location,remote_ratio,company_location,company_size,employee_residence
2023,Senior,Full Time,Data Analyst,65000,USD,65000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Engineer,165000,USD,165000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Engineer,132300,USD,132300,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Engineer,179170,USD,179170,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Engineer,94300,USD,94300,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Analyst,152500,USD,152500,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Analyst,116450,USD,116450,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Engineer,247300,USD,247300,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Engineer,133800,USD,133800,US,0,USA,Medium,USA
2023,Senior,Full Time,Machine Learning,203000,USD,203000,US,0,USA,Medium,USA
2023,Senior,Full Time,Machine Learning,133000,USD,133000,US,0,USA,Medium,USA
2023,Entry-level,Full Time,Data Scientist,220000,USD,220000,US,50,USA,Large,USA
2022,Entry-level,Full Time,Machine Learning,54000,CHF,56536,CH,100,Switzerland,Small,Switzerland
2023,Senior,Full Time,Data Scientist,150000,USD,150000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Scientist,120000,USD,120000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Analyst,289800,USD,289800,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Analyst,214000,USD,214000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Analyst,179820,USD,179820,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Analyst,143860,USD,143860,US,0,USA,Medium,USA
2023,Senior,Full Time,Machine Learning,283200,USD,283200,US,100,USA,Medium,USA
2023,Senior,Full Time,Machine Learning,188800,USD,188800,US,100,USA,Medium,USA
2023,Senior,Full Time,Data Analyst,289800,USD,289800,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Analyst,214200,USD,214200,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Engineer,185900,USD,185900,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Engineer,129300,USD,129300,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Engineer,252000,USD,252000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Engineer,129000,USD,129000,US,0,USA,Medium,USA
2023,Mid-level,Full Time,Data Analyst,155000,USD,155000,US,0,USA,Medium,USA
2023,Mid-level,Full Time,Data Analyst,140000,USD,140000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Engineer,161800,USD,161800,US,100,USA,Medium,USA
2023,Senior,Full Time,Data Engineer,141600,USD,141600,US,100,USA,Medium,USA
2023,Senior,Full Time,Machine Learning,342300,USD,342300,US,0,USA,Large,USA
2023,Senior,Full Time,Machine Learning,176100,USD,176100,US,0,USA,Large,USA
2023,Mid-level,Full Time,Data Engineer,100000,USD,100000,US,100,USA,Medium,USA
2023,Mid-level,Full Time,Data Engineer,70000,USD,70000,US,100,USA,Medium,USA
2023,Entry-level,Full Time,Data Engineer,85000,USD,85000,US,0,USA,Medium,USA
2023,Entry-level,Full Time,Data Engineer,65000,USD,65000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Scientist,138784,USD,138784,US,100,USA,Medium,USA
2023,Senior,Full Time,Data Scientist,83270,USD,83270,US,100,USA,Medium,USA
2023,Entry-level,Full Time,Data Analyst,75000,USD,75000,US,0,USA,Medium,USA
2023,Entry-level,Full Time,Data Analyst,70000,USD,70000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Analyst,204500,USD,204500,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Analyst,138900,USD,138900,US,0,USA,Medium,USA
2023,Senior,Full Time,Machine Learning,318300,USD,318300,US,100,USA,Medium,USA
2023,Senior,Full Time,Machine Learning,212200,USD,212200,US,100,USA,Medium,USA
2023,Senior,Full Time,Data Engineer,95000,USD,95000,US,100,USA,Medium,USA
2023,Senior,Full Time,Data Engineer,75000,USD,75000,US,100,USA,Medium,USA
2023,Senior,Full Time,Data Scientist,195000,USD,195000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Scientist,160000,USD,160000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Analyst,230000,USD,230000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Analyst,143200,USD,143200,US,0,USA,Medium,USA
2023,Mid-level,Full Time,Data Engineer,100000,USD,100000,US,100,USA,Medium,USA
2023,Mid-level,Full Time,Data Engineer,70000,USD,70000,US,100,USA,Medium,USA
2023,Mid-level,Full Time,Data Analyst,105000,USD,105000,US,50,USA,Large,USA
2023,Mid-level,Full Time,Data Scientist,1700000,INR,20670,IN,100,India,Large,India
2023,Mid-level,Full Time,Data Analyst,38000,GBP,46178,GB,0,United Kingdom,Medium,United Kingdom
2023,Mid-level,Full Time,Data Analyst,35000,GBP,42533,GB,0,United Kingdom,Medium,United Kingdom
2023,Senior,Full Time,Data Engineer,145000,USD,145000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Engineer,115000,USD,115000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Analyst,168400,USD,168400,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Analyst,105200,USD,105200,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Scientist,309400,USD,309400,US,0,USA,Large,USA
2023,Senior,Full Time,Data Scientist,159100,USD,159100,US,0,USA,Large,USA
2023,Senior,Full Time,Machine Learning,190000,USD,190000,US,0,USA,Medium,USA
2023,Senior,Full Time,Machine Learning,150000,USD,150000,US,0,USA,Medium,USA
2023,Mid-level,Full Time,Data Engineer,162500,USD,162500,US,0,USA,Medium,USA
2023,Mid-level,Full Time,Data Engineer,130000,USD,130000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Analyst,150000,USD,150000,US,100,USA,Medium,USA
2023,Senior,Full Time,Data Analyst,120000,USD,120000,US,100,USA,Medium,USA
2023,Senior,Full Time,Data Engineer,145000,USD,145000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Engineer,120000,USD,120000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Scientist,222200,USD,222200,US,0,USA,Large,USA
2023,Senior,Full Time,Data Scientist,136000,USD,136000,US,0,USA,Large,USA
2023,Senior,Full Time,Data Analyst,45000,GBP,54685,CF,100,Central African Republic ,Medium,Central African Republic 
2023,Senior,Full Time,Data Analyst,35000,GBP,42533,CF,100,Central African Republic ,Medium,Central African Republic 
2023,Senior,Full Time,Data Engineer,241000,USD,241000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Engineer,155000,USD,155000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Engineer,220000,USD,220000,US,100,USA,Medium,USA
2023,Senior,Full Time,Data Engineer,190000,USD,190000,US,100,USA,Medium,USA
2023,Mid-level,Full Time,Data Scientist,55000,GBP,66837,GB,0,United Kingdom,Medium,United Kingdom
2023,Mid-level,Full Time,Data Scientist,45000,GBP,54685,GB,0,United Kingdom,Medium,United Kingdom
2020,Expert,Full Time,Data Analyst,15000,USD,15000,NG,0,Canada,Medium,Canada
2023,Mid-level,Full Time,Data Engineer,70000,GBP,85066,GB,100,United Kingdom,Medium,United Kingdom
2023,Mid-level,Full Time,Data Engineer,47500,GBP,57723,GB,100,United Kingdom,Medium,United Kingdom
2023,Entry-level,Full Time,Data Analyst,85000,USD,85000,US,100,USA,Medium,USA
2023,Entry-level,Full Time,Data Analyst,75000,USD,75000,US,100,USA,Medium,USA
2023,Senior,Full Time,Data Engineer,160000,USD,160000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Engineer,140000,USD,140000,US,0,USA,Medium,USA
2023,Mid-level,Full Time,Machine Learning,300000,USD,300000,US,0,USA,Medium,USA
2023,Mid-level,Full Time,Machine Learning,250000,USD,250000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Scientist,228000,USD,228000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Scientist,186000,USD,186000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Scientist,190000,USD,190000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Scientist,170000,USD,170000,US,0,USA,Medium,USA
2023,Mid-level,Full Time,Machine Learning,230000,USD,230000,US,0,USA,Medium,USA
2023,Mid-level,Full Time,Machine Learning,200000,USD,200000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Architect,180000,USD,180000,US,100,USA,Medium,USA
2023,Senior,Full Time,Data Architect,115000,USD,115000,US,100,USA,Medium,USA
2023,Senior,Full Time,Data Architect,200000,USD,200000,US,100,USA,Medium,USA
2023,Senior,Full Time,Data Architect,115000,USD,115000,US,100,USA,Medium,USA
2023,Senior,Full Time,Data Engineer,50000,EUR,53654,FR,50,France,Small,France
2023,Expert,Full Time,Data Engineer,220000,USD,220000,US,0,USA,Medium,USA
2023,Expert,Full Time,Data Engineer,205000,USD,205000,US,0,USA,Medium,USA
2023,Mid-level,Full Time,Data Engineer,180000,USD,180000,US,0,USA,Medium,USA
2023,Mid-level,Full Time,Data Engineer,130000,USD,130000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Engineer,200000,USD,200000,US,100,USA,Medium,USA
2023,Senior,Full Time,Data Engineer,150000,USD,150000,US,100,USA,Medium,USA
2023,Senior,Full Time,Machine Learning,215000,USD,215000,US,0,USA,Medium,USA
2023,Senior,Full Time,Machine Learning,170000,USD,170000,US,0,USA,Medium,USA
2023,Senior,Full Time,Machine Learning,247500,USD,247500,US,0,USA,Medium,USA
2023,Senior,Full Time,Machine Learning,172200,USD,172200,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Scientist,224000,USD,224000,CA,0,Canada,Medium,Canada
2023,Senior,Full Time,Data Scientist,176000,USD,176000,CA,0,Canada,Medium,Canada
2023,Senior,Full Time,Data Analyst,120000,USD,120000,US,100,USA,Medium,USA
2023,Senior,Full Time,Data Analyst,75000,USD,75000,US,100,USA,Medium,USA
2023,Entry-level,Full Time,Data Engineer,1400000,INR,17022,IN,100,India,Large,India
2023,Senior,Full Time,Data Scientist,100000,AUD,68318,AU,100,Finland,Medium,Finland
2023,Mid-level,Full Time,Machine Learning,100000,SGD,75020,FI,0,Finland,Medium,Finland
2023,Senior,Full Time,Data Analyst,140000,USD,140000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Analyst,120000,USD,120000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Engineer,128000,USD,128000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Engineer,81500,USD,81500,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Engineer,145000,USD,145000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Engineer,115000,USD,115000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Engineer,185000,USD,185000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Engineer,140000,USD,140000,US,0,USA,Medium,USA
2023,Expert,Full Time,Data Scientist,329500,USD,329500,US,0,USA,Medium,USA
2023,Expert,Full Time,Data Scientist,269600,USD,269600,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Analyst,100000,USD,100000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Analyst,80000,USD,80000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Scientist,250000,USD,250000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Scientist,162500,USD,162500,US,0,USA,Medium,USA
2023,Mid-level,Full Time,Machine Learning,200000,USD,200000,US,100,USA,Medium,USA
2023,Senior,Full Time,Data Engineer,145000,USD,145000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Engineer,100000,USD,100000,US,0,USA,Medium,USA
2023,Expert,Full Time,Data Engineer,145000,USD,145000,US,0,USA,Medium,USA
2023,Expert,Full Time,Data Engineer,115000,USD,115000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Scientist,203500,USD,203500,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Scientist,152000,USD,152000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Scientist,239000,USD,239000,US,0,USA,Large,USA
2023,Senior,Full Time,Data Scientist,122900,USD,122900,US,0,USA,Large,USA
2023,Senior,Full Time,Data Scientist,237000,USD,237000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Scientist,145000,USD,145000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Scientist,191765,USD,191765,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Scientist,134236,USD,134236,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Analyst,190000,USD,190000,US,100,USA,Medium,USA
2023,Senior,Full Time,Data Analyst,112000,USD,112000,US,100,USA,Medium,USA
2022,Senior,Full Time,Data Scientist,84000,EUR,88256,ES,100,United Kingdom,Large,United Kingdom
2023,Entry-level,Full Time,Data Engineer,85000,USD,85000,US,0,USA,Medium,USA
2023,Entry-level,Full Time,Data Engineer,65000,USD,65000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Analyst,135000,USD,135000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Analyst,105500,USD,105500,US,0,USA,Medium,USA
2023,Senior,Full Time,Machine Learning,293000,USD,293000,US,0,USA,Medium,USA
2023,Senior,Full Time,Machine Learning,185000,USD,185000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Analyst,80000,USD,80000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Analyst,70000,USD,70000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Engineer,220000,USD,220000,US,100,USA,Medium,USA
2023,Senior,Full Time,Data Engineer,160000,USD,160000,US,100,USA,Medium,USA
2023,Senior,Full Time,Data Scientist,175000,USD,175000,US,100,USA,Medium,USA
2023,Senior,Full Time,Data Scientist,145000,USD,145000,US,100,USA,Medium,USA
2023,Senior,Full Time,Data Analyst,200000,USD,200000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Analyst,148500,USD,148500,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Scientist,45000,EUR,48289,ES,0,Spain,Medium,Spain
2023,Senior,Full Time,Data Scientist,36000,EUR,38631,ES,0,Spain,Medium,Spain
2023,Senior,Full Time,Data Engineer,240500,USD,240500,US,0,USA,Large,USA
2023,Senior,Full Time,Data Engineer,123700,USD,123700,US,0,USA,Large,USA
2023,Senior,Full Time,Data Analyst,152900,USD,152900,US,100,USA,Medium,USA
2023,Senior,Full Time,Data Analyst,117100,USD,117100,US,100,USA,Medium,USA
2023,Senior,Full Time,Data Analyst,173000,USD,173000,US,100,USA,Medium,USA
2023,Senior,Full Time,Data Analyst,113000,USD,113000,US,100,USA,Medium,USA
2023,Senior,Full Time,Data Scientist,260000,USD,260000,US,0,USA,Large,USA
2023,Senior,Full Time,Data Scientist,136000,USD,136000,US,0,USA,Large,USA
2023,Expert,Full Time,Data Engineer,175000,USD,175000,US,0,USA,Medium,USA
2023,Expert,Full Time,Data Engineer,110000,USD,110000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Scientist,260000,USD,260000,US,0,USA,Large,USA
2023,Senior,Full Time,Data Scientist,136000,USD,136000,US,0,USA,Large,USA
2023,Senior,Full Time,Data Scientist,130000,USD,130000,US,100,USA,Medium,USA
2023,Senior,Full Time,Data Scientist,110000,USD,110000,US,100,USA,Medium,USA
2023,Senior,Full Time,Data Scientist,205000,USD,205000,US,100,USA,Medium,USA
2023,Senior,Full Time,Data Scientist,184000,USD,184000,US,100,USA,Medium,USA
2023,Senior,Full Time,Data Analyst,149500,USD,149500,US,100,USA,Medium,USA
2023,Senior,Full Time,Data Analyst,127075,USD,127075,US,100,USA,Medium,USA
2023,Senior,Full Time,Data Scientist,195000,USD,195000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Scientist,160000,USD,160000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Engineer,219535,USD,219535,US,100,USA,Medium,USA
2023,Senior,Full Time,Data Engineer,146115,USD,146115,US,100,USA,Medium,USA
2023,Senior,Full Time,Data Scientist,170000,USD,170000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Scientist,135000,USD,135000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Scientist,175000,USD,175000,US,100,USA,Medium,USA
2023,Senior,Full Time,Data Scientist,145000,USD,145000,US,100,USA,Medium,USA
2023,Senior,Full Time,Data Scientist,199000,USD,199000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Scientist,162000,USD,162000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Scientist,222200,USD,222200,US,0,USA,Large,USA
2023,Senior,Full Time,Data Scientist,136000,USD,136000,US,0,USA,Large,USA
2023,Expert,Full Time,Data Analyst,221000,USD,221000,US,100,USA,Medium,USA
2023,Expert,Full Time,Data Analyst,153000,USD,153000,US,100,USA,Medium,USA
2023,Senior,Full Time,Data Analyst,187000,USD,187000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Analyst,128000,USD,128000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Scientist,210000,USD,210000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Scientist,136000,USD,136000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Scientist,175000,USD,175000,US,100,USA,Medium,USA
2023,Senior,Full Time,Data Scientist,100000,USD,100000,US,100,USA,Medium,USA
2023,Senior,Full Time,Data Engineer,179000,USD,179000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Engineer,109000,USD,109000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Scientist,245000,USD,245000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Scientist,180000,USD,180000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Analyst,142000,USD,142000,US,100,USA,Medium,USA
2023,Senior,Full Time,Data Analyst,75000,USD,75000,US,100,USA,Medium,USA
2023,Senior,Full Time,Data Engineer,198800,USD,198800,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Engineer,105200,USD,105200,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Analyst,125000,USD,125000,US,100,USA,Medium,USA
2023,Senior,Full Time,Data Analyst,112000,USD,112000,US,100,USA,Medium,USA
2023,Senior,Full Time,Data Scientist,210000,USD,210000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Scientist,155000,USD,155000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Engineer,115000,USD,115000,US,100,USA,Medium,USA
2023,Senior,Full Time,Data Engineer,86000,USD,86000,US,100,USA,Medium,USA
2023,Senior,Full Time,Data Scientist,165000,USD,165000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Scientist,140000,USD,140000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Analyst,139000,USD,139000,US,0,USA,Medium,USA
2023,Senior,Full Time,Data Analyst,106000,USD,106000,US,0,USA,Medium,USA
2023,Entry-level,Full Time,Data Analyst,55000,CAD,40663,CA,0,Canada,Large,Canada
